Block,Trial,ImageName,Response,RT,Correct,ConfidenceLevel
2,31,F_41_Animal_Test.jpg,Animal,2.75335560000167,1,0.95
2,32,F_5_Non-Animal_Test.jpg,Non-Animal,2.40314370000124,1,0.75
2,33,H_36_Animal_Test.jpg,Animal,1.88273579999804,1,1
2,34,H_18_Non-Animal_Test.jpg,Non-Animal,1.75836269999854,1,1
2,35,F_7_Animal_Test.jpg,Animal,3.08462940000027,1,0.75
2,36,M_23_Non-Animal_Test.jpg,Non-Animal,2.20540149999943,1,0.9
2,37,F_58_Animal_Test.jpg,Animal,1.87961770000038,1,1
2,38,N_39_Animal_Test.jpg,Animal,1.85144390000278,1,1
2,39,F_22_Non-Animal_Test.jpg,Non-Animal,2.01332069999989,1,1
2,40,H_27_Animal_Test.jpg,Animal,1.75742170000012,1,1
2,41,N_4_Animal_Test.jpg,Animal,1.86890259999927,1,1
2,42,M_9_Animal_Test.jpg,Animal,2.30498739999894,1,1
2,43,M_2_Non-Animal_Test.jpg,Non-Animal,8.46498390000124,1,0.35
2,44,M_45_Animal_Test.jpg,Animal,2.20183649999672,1,0.35
2,45,F_45_Animal_Test.jpg,Animal,1.55517650000183,1,0.65
2,46,M_37_Non-Animal_Test.jpg,Non-Animal,2.53563179999765,1,0.6
2,47,F_24_Non-Animal_Test.jpg,Non-Animal,1.65579149999758,1,0.85
2,48,F_15_Non-Animal_Test.jpg,Non-Animal,2.09041100000104,1,0.8
2,49,H_32_Animal_Test.jpg,Animal,3.74348790000295,1,1
2,50,N_68_Animal_Test.jpg,Animal,2.07992279999962,1,1
2,51,M_69_Non-Animal_Test.jpg,Non-Animal,2.97279600000184,1,0.3
2,52,N_41_Animal_Test.jpg,Animal,1.99735490000239,1,1
2,53,N_47_Non-Animal_Test.jpg,Non-Animal,2.75980979999804,1,0.35
2,54,N_40_Animal_Test.jpg,Animal,2.11866780000128,1,1
2,55,M_12_Animal_Test.jpg,Animal,1.87239129999944,1,1
2,56,F_48_Non-Animal_Test.jpg,Non-Animal,2.43817279999712,1,0.9
2,57,N_26_Non-Animal_Test.jpg,Non-Animal,1.88863870000205,1,0.8
2,58,N_60_Animal_Test.jpg,Animal,1.97724770000059,1,1
2,59,H_42_Animal_Test.jpg,Animal,1.87724449999951,1,1
2,60,F_59_Non-Animal_Test.jpg,Non-Animal,2.2049597999976,1,0.4
2,61,M_11_Non-Animal_Test.jpg,Non-Animal,1.87174100000266,1,0.9
2,62,N_24_Animal_Test.jpg,Animal,2.4731967000007,1,0.8
2,63,N_25_Animal_Test.jpg,Animal,2.52391349999743,1,1
2,64,M_32_Animal_Test.jpg,Animal,3.16993980000188,1,0.3
2,65,M_49_Animal_Test.jpg,Non-Animal,3.20540210000036,0,0.35
2,66,N_17_Animal_Test.jpg,Animal,1.77195930000016,1,1
2,67,H_53_Animal_Test.jpg,Animal,1.76064550000228,1,1
2,68,M_75_Animal_Test.jpg,Animal,2.20169819999865,1,1
2,69,F_16_Animal_Test.jpg,Animal,2.00400560000344,1,1
2,70,H_37_Non-Animal_Test.jpg,Non-Animal,1.99403620000157,1,1
2,71,H_57_Non-Animal_Test.jpg,Non-Animal,1.88278069999797,1,1
2,72,F_69_Animal_Test.jpg,Animal,1.54488540000239,1,0.8
2,73,F_20_Animal_Test.jpg,Animal,1.74212819999957,1,1
2,74,F_8_Non-Animal_Test.jpg,Non-Animal,1.86284620000151,1,0.9
2,75,M_51_Non-Animal_Test.jpg,Non-Animal,2.67818579999948,1,0.7
2,76,N_58_Non-Animal_Test.jpg,Non-Animal,2.33159789999991,1,0.65
2,77,N_10_Non-Animal_Test.jpg,Non-Animal,1.785952000002,1,1
2,78,H_8_Non-Animal_Test.jpg,Non-Animal,1.7917157999982,1,1
2,79,N_70_Animal_Test.jpg,Animal,1.86210299999948,1,1
2,80,H_33_Non-Animal_Test.jpg,Non-Animal,2.72432110000227,1,0.9
2,81,M_46_Non-Animal_Test.jpg,Non-Animal,2.20117939999909,1,0.8
2,82,M_57_Non-Animal_Test.jpg,Non-Animal,1.98498520000066,1,0.65
2,83,F_73_Non-Animal_Test.jpg,Non-Animal,2.43877369999973,1,0.75
2,84,M_13_Non-Animal_Test.jpg,Non-Animal,2.65004960000078,1,0.9
2,85,H_34_Non-Animal_Test.jpg,Non-Animal,2.07607410000128,1,0.95
2,86,N_7_Non-Animal_Test.jpg,Non-Animal,2.31618710000112,1,1
2,87,M_8_Non-Animal_Test.jpg,Non-Animal,2.09747509999943,1,1
2,88,H_3_Non-Animal_Test.jpg,Non-Animal,1.74211450000075,1,1
2,89,H_68_Animal_Test.jpg,Non-Animal,3.51078369999959,0,0.9
